,Actual,Predicted
307,we are living in an impossible conditions please take care of people from silo impasse blanchard ,i is a the to     the to                                                 
308,"the people in silo, impasse blanchard have no tents. we are sleeping outside. we asked for help via 4636 but got no response. please get us some help. ",we are in the     we                                                   
309,"we thank you for your advices, however poors in four holese section did not yet get anything. we tahnk you in advance for your consideration. our leaders from our casez made a lot of request in order to help us for cold, rain .. ",i love the      to the  to  useful to     we the   to                                    
310,santo 2 and impasse beb blanc. we need tents. the rain is coming down and we are in it othe raine. ,we please the  to                                                       
311,send the unicef address for me please ,what that i information to the                                                      
312,please help me find a tent. i've already written several times and no one has answered us. why? ,i find a i  to i  to i need i of  i                                             
313,"i must say that, what about the persons who are losed almost every thing they own at port-au-prince, and now those persons are in province, how they will consider those peoples. ",i find a i a i                                                      
314,thank you i receive the message. i am happy. i hope to receive more info which will help. ,i find a i      to i                                                 
315,the un sait that we do not need to put fire in our tants. we need to light kindle which you put in a plate. put it on the ground. ,i is a the  to    the                                                  
316,"boul i mother does not like my two phones. i am hungry, please ",i find a i  to i  in i need i  of i                                             
317,"cap haitien was hit by a landslide this morning. a school has been buried under a pile of sand, with 4 deaths. ",i the                                                          
318,i'd like to know about the help from foreign countries and from digicell. ok. ,we please in    we    at                                                 
319,while we are striving for a new haiti. please help me to find a job that i can survive in the mist of this calamity ,i find i  to i                                                      
320,we need tents food they are desprate ,i find a i to     the  to i to   i the                                          
321,when will the shada area and santo area have electricity? ,we please the  and the                                                      
322,i prefer to die than live without you. ,what that i to  the                                                      
323,"i'm a girl, i'm 16. can i participate? ",i find i  to  i                                                     
324,"they give cart to their friends, i am buying the help for 30 gourdes in a store. ",i find a i  to i  to i to i                                                
325,what can i do to continue with my studies? ,we please we   this                                                      
326,when somebody can find his act so birth ,what is the  to the                                                      
327,i see you don't send the information ,i that i  to i need                                                     
328,"hello, how are you, please i would like to know if there is anywhere where i can obtain copies of documents (civil registry). thank you. ",we are in  we   have                                                    
329,i need to have some informations. ,message is the  in                                                       
330,is latortue not in haiti. we've gotten no help here. ,i is a the to the                                                      
331,"i'm a guy, i just want your help i don't have ent and i son't find nothing yet please help me ",i find a i                                                        
332,is the government going to frame the people who are in provinces so that they won't return to the capital? ,i would not to   the   in the to i  to                                             
333,"the christ is dead for you.. you, what you have to do for the christ? ",we tomorrow haitians the you such the such the  office the tired   nippes    change                                        
334,why don't we must light whale inside the shelter ,what that i to  the                                                      
335,"i am a victim in the earth quake, please i need your help. ",i find i  to  i                                                     
336,we are hungry call me to give you my address ,we are in  you the               you                                       
337,"i need a job ,i cannot go to school ",i is a the to    the   to                                                
338,"hi, i am in the artibonite, we have not yet receive aid. we are located in l'estere, we are asking the government to visit us. thanks ",i find a i to  i to  the  i  the  to the                                           
339,"good evening, i will know something. ",but the                                                          
340,the reopening of the school on march is it true? ,we are the                                                         
341,ong say if the old person make a little time to take medecin ,i that i  to  a                                                     
342,notes: this message is incomplete.,i that i  to  a                                                     
343,does the earthquake have pass has port-au-prince? to give me the answer the on this number thank you. delmas 21 ,i find a i       the i                                                
344,what do i need to do to find a tent? ,but is the                                                         
345,"any country wouldn't advance without education,at least close the school it's opene the door of prisons ",we are in the you the  in the in the                                                 
346,what can i do to get a pwenla also ,what that the to  the                                                      
347,i would like to be informed of all the news. ,we please in kisses                                                        
348,how united nations can help us to find job? ,i find a the to  the                                                     
349,"please, send me some minutes on my cell phone, because i want to do a urgent call. ",i find a the to i                                                      
350,i would like to have all the news informations about haiti. ,we please in   at                                                      
351,i cannot find any plastic tarps. please help me find a tarp. ,what is the  to the                                                      
352,"i would like to know all informations, cause i don't nkow what's going on. ",i that a to                                                        
353,"i am a sdudent, now i almost feel in a great misery. ",i of i to    the                                                    
354,i write this message specially for all the ong in the country. i'm a victim of the earthquake and i'm looking for a job. ,i find a i       in i      to of i                                        
355,what you know of earthquake it will continue or not? ,i that i to    the                                                    
356,"im in the camp unah carrefour dikini, there are 63 leaders steal the aids we dont find nothing we ask to the responsible keep their robber. ",i love a the to  the  to the  to the  to      the      to                                 
357,may i have coordinates of the engineers please? ,i find i to  i   to                                                   
358,there is no food so that the people can eat ,what is the                                                         
359,"i don't see the message that left,please can you tell me where i can find work. ",i of a to                                                        
360,"these are of the numbers of the family that were victim of january 12, 2010. thank you ",what that we to  the                                                      
361,how we owe participle has the re-planning ,we please help  in                                                       
362,"i would like to paticipate, i don't know here i can enter in the panification reorganizations, where i can enter? ",i find a i            to i                                           
363,i'd like to have information on what happened january 12th. i would like to have advice ,i love a to i the       to  the  to the                                          
364,we do not see any engineer has petit goave. ,what that we the to the                                                      
365,i have bracket for a work by telephone this after midday they did not answer me. ,i find the                                                         
366,hi! i would like to know the informations for the surnamis to forsee for haiti. ,i  a to                                                        
367,"send to me this message, we have to close all the schools in march. ",i find i  to i                                                      
368,what i do so that i can't get sore eyes ,what that i to  the to                                                     
369,"always do good! it rarely lost before men, and never before god. ",i of a the  to the                                                     
370,i beg you to come to our rescue. we are really destroy. our family is lost. we are in mole saint nicolas ,i are how the  to   we                                                   
371,where this meeting will be organized? ,when is the  send                                                       
372,i want to have informations about all sport. ,what that the to  the                                                      
373,we need shelter in santo2 coutinue cross bb blanc street ,we please in                                                         
374,thank you for all the information you gave me. ,what that the  to the                                                      
375,"emergency, aux cayes is flooding, they needs help. ",what is the                                                         
376,"i'm greeting the organizations what i need is:food,tent,thanks for your understanding. ",i find i  to morning i                                                     
377,"good evening, i'm a citizen, my house is brake down, i don't have covers to sleep, i would like to have one. how i can find it? ",i find a to i   the i                                                   
378,how can we handle rhe rain right now we are wet ,we are the                                                         
379,i'm pregnant and i'd like to know which precautions that i should take. ,i please i  to i   need                                                   
380,hi every bady i am a victim from january 12th. i have much problem in the rain can you help me to find shelter ? ,i find a to i              to i  and i    to i to need                              
381,information requiere about of the earthquake. ,when is the                                                         
382,"we need electricity at leogane because if we have it we can amuse(distract) and every body can enjoy.please,think about us. ",we are in the you the             we                                         
383,"send me some supports, please!i am very hungry. i have nobody at gonaives. after the earthquake, i am living in ''gonaives'', i can't return in port-au-prince because my house breaked ",i find a i  to i           to i     to                                    
384,"thanks you so much for your advice, good job from digicel. ",what is the  in                                                       
385,we have nothing to eat at lagonave. please help us. we don't want to die. ,we are in  we                                                       
386,"earthquake tuesday january 12, 2010. ",what is the                                                         
387,oh!digicel you make me stay always in all service and in information digicel se pam. ,we are in  we                                                       
388,"shelter and food are very important, how about some one who hasn't a recipient? ",i the                                                          
389,"in jackmel, at pasket area, dikas, first bridge,lolo,lokadi, ti bidon, there are many case of fever, people sleep on street, and it's rainning every night, and they die of stavation. ",the                                                           
390,"i have a three month old child, it has diarrhoea. what do i have to make for him? ",we are in the                                                        
391,"please,may i get an e-mail by which i can get a job in the government or in a ngo? ",i would not to am if the                                                     
392,earthquake tuesday 12 juanary 2010 ,know they the i'm                                                        
393,i need a job i give a lot of cv but they did not call me ,i find i                                                         
394,"greething to you,here's a recommendation to reconstruct or country planning of haiti, it's necessary all the ground belongs to the haitien's government ",the                                                           
395,how much money would need someone to remake a birth certificate which was lost during the seism of january 12? ,we the                                                          
396,i thank the number 4636 for these beautiful information that they give us in all the domains. thank you 4636 ngo ,we are in at we                                                       
397,"we have to live as brothers and sisters,thank you for the information you send for me. ",we please in we                                                        
398,about tap water we can drink it without treating? ,i find i  to i   a                                                   
399,"is like this they takecare of us? if not,what kind of precaution should people who's living in the same place with people that's sick can take.please 4636,i'll take of your answer right now. ",i find a the to the       i     to the   i  the                                    
400,i'm glad the united nations might enjoy the attention i int  national community on people i crazy i damier in kabar under the bed sheets to d  ,i love a to  the   to the     to      the       to                                
401,can you to help me has to find a scolarship so that i can come to take part in the rebuilding of the country ,i find a the to  i                                                     
402,i think the water ground could only showering. ,we please help we and in                                                      
403,after each catastrophe which c' in this country all the world is master key are always with the current why the international assistances are never arrive at true the victims the state. ,i love the                to  the               to                        
404,"good evening, i listen to you to laplaine if dumga does not appeal has ronaldinho. the persons in charge could change selector before the world cup. ",the    you the to   the                                                  
405,"we are bitting by mouskitous, what can we do in that situation. ",i find a the to i                                                      
406,if i need replace my id card who lost.where i go after replace it ,i find a the to                                                       
407,"hey! you send for haiti we find anything even a water sachet, when jesus came in the under the ground he said the people give the order, father god,why among all the zone were more despise ? ",i is a the   to the                                                    
408,"i miss you i can't see you,you don't miss me. ",i find i to  i   to                                                   
409,i listened if a pupil leave port au prince to go in an other the state will pays their truiton of the year for them in whatever the school they join ,i love i to i  the  i   to i the to   i to   the i  the  to                                 
410,"i am going to have 20 years i live has hinche, address street cite-du-peuple ",i find a to  i  to  i                                                  
411,"i would like to have some informations about social,political,economic of international.thanks i'm waitting for you now. ",i find a the to   the to   i                                                
412,"i'm tied to stay at home, and i don't like to stay without doing nothing, please help me to find a job. ",i love a the i the       to      the                                         
413,we don't find help in st louis du nord.what should we do? ,i find a the to  i to  the                                                  
414,dress with the chretian cloth eph 5:1 rom 12 rom 13:12 - 14 ,i is a to the                                                       
415,i'm late will be there at ten o'clock ,i that i information for the                                                      
416,i have a sore throat i don't know what to do i have so much difficulty to drink and to eat please help me. ,i find a i                                                        
417,"here are what i'm asking for: tent,shelter,food and orther things. ",i find a to  i    to                                                  
418,"hello, i'm in port-au-prince. i am an artist p. i solicit your help for the creation of an expo. i coordinate club of arts. thanks ",i find a to       the to i the  to  the                                          
419,i am sleeping in this house. i will give you a little space to sleep. ,i find a i             to i of i                                        
420,"good morning, please! if i would like to go has files national about is birth certificate, what the part i must present? ",we are a the are the in the                                                    
421,i need all informations about the haiti earthquake from january 13 to this day. thanks ,i find a the  to the     to the to the                                             
422,"we want a country where they respect all person right.why i go to gonaive there's a lot help i can't find anything.they distibute the help with these partisans,i want to continue with my study. ",i love the                         to the  to                             
423,"hi, is immigration making new passport in this moment? ",i find a the                                                        
424,"i send the thanks for american soldier, about the help an disaster. the god always gives us courage thanks. ",i find a i  the  i the   to i     to  the to                                       
425,the important thing is:the person liable in the governement wll have to profit.prs.bec dessalines ,we are in   the we have we                                                   
426,"if some body lives in a camp and than they need some bathroom,what could they do? ",we please the  to                                                       
427,"the leaders are working at the commune for the good future of the ''arquinois'' in spite of we don't have nothing, but we want to work in the transparency and then everybody will understand the realizations ",i find a to i   the i                                                   
428,"my love, i did not want to make you suffer. i want you to always be in my heart. i love you. ",i find a i    to i                                                   
429,"not announces under effert of protection of cyclone, trenblement of ground, magnola ",we are in the in the                                                      
430,"the population of port de bonheure in the pointe a raquettecommunity,we haven't som3 aid. ",i find a i          to                                              
431,"i greating us by the name of god, i write you a second time. i'm a director of school at jeremie we work to decrease idelinquency juvenile ",i find a i                                                        
432,"would you like this school? or god is leading jesus the censor, the st mind the professor, the bible for book the tests to must and the prayer for soil ",i love a to   the  to  the    to the to the  to the      to                                 
433,i say hi for your good work that are you doing in the country.plase! may i know when the official exams will be done all over the country. ,i love a to   the  to    the   to the            to                               
434,"in the country, please think to me, i count on you, thanks before ever since you think to me because it rains i don't have tent. i am waiting your answer. ",we are in the  we                                                      
435,hello united nations i great you sir and mrs i ask the internationnal instance to give us the aid it's bayilorde petigoave haiti i wait your answer ,i the           in the                                              
436,febert glass-conducteur car and truck -operator-tractor-exp: souverain-mathieu'?1  ,i would a to   the to  the                                                  
437,good evening! i would like to include in this service. ,what that i do to the                                                      
438,"hello,we're a family,we lost our house,a uncle,one brother,we do have nothing,we sleep in the street.we never see nobody ",i find in for the    to we     to    food   we                                      
439,notes: it's not important it's a person that jorking.,i find i the to i                                                      
440,to how much the seism occurs at jeremie? ,i that the  to  the to the                                                   
441,how are you honney? what do you do? yesturday i didn't listened you so take care kisses..? ,we are the                                                         
442,thank you united of nations. ,i that a to   the to                                                    
443,how avoid dengue and yellow fever. ,we please the in                                                        
444,"good morning, we need some water at village to repatriate center of patmos. ",we are in      we                                                   
445,i would like for this thing to be passed in this country in this moment. ,i that i to  the for                                                     
446,"hi, how are you? about me, i feel so good call me i have something to say for you. lovely ",i are a the  to in  the in   the   of                                            
447,"indeed the necessity of drinking water, food, shelter, are for us the avaible assistance, we need help please this is an sos. ",i love i to i to  the to    the    to the         to                                 
448,in the town hall of cite soleil there is a manifestation against magistrate on the way the town hall sells the cards. ,i is a the                                                        
449,notes: this person want to play.,i love i to i  the  to  i to the  to   the to   the i the   to                                 
450,good afternoon you dont know if there's some scholarship please. ,what that the to  the                                                      
451,why the peoples of my house can't to take part in the food distribution? ,i is a the to   the    to the to    the                                          
452,never doubt about it because i don't leave you for nothing to world.i love you. ,i find a i     need i      need                                            
453,"mr thhe responsables of the ong why do all camps find foods and then they have people in order center who are starving, mainly for the center which is on aviation steet. ",i love a i  the i   the  i     to i   the i  to                                    
454,what's new about the earthquake? ,i that i the to the for                                                     
455,thank you to be use the service entre nous of digicel.the instructions that you're going to receive will guide you to active this service on your portable. ,i love a the          to     the                                         
456,notes: this message is not important because this person want to play.,we are the                                                         
457,"hi 4636 did you give the news for tonight on an eventuel earthquake i heard a lot persons say that, i would want that you gave me more precision ",i find a to i  the  in i                        to                          
458,please does not give the haitians to rebuild the country they are not able even to separate the assistance how they will rebuild the country if there is 10 foreign ones it is necessary that there is a single haitians ,i is a the        to                                                
459,i would like to get a number to call edh ,i find i  to i                                                      
460,how we can build a telephone card. ,we are we the to the                                                      
461,notes: this message is not complete,when the lingering kisses you cheri                                                      
462,"notes: the person is playing,he jokes",we please in                                                         
463,1sam 7 : 12 (1jn5: 1-13 ) math 22 :  ,what is the                                                         
464,downtown texas hold'em taille :: 107 k version: 0.1.54 fournisseur: jamdat mobile inc. url du fichier jar: texasholdemdemo.jar ,we are haitians you  the  to the  office the  tired the                                             
465,how can we protect against the trembling earth. i am a pupil of rtho thank you. ,we are in the we the we                                                     
466,is there any possibility for a pregnate woman has favor to make an ecography exam in a hospital? ,i is a the           to  the of                                          
467,"the structure of the haitian banking system: is characterized by the preeminence of the 3 first sogesk establishment, unibc and bnc which concentement the greatest market share, followed other banks which s' endeavour to cut their share of what remains ",we are in      the we     are      we            the                           
468,notes: this message is not important.this person is joking.,i love a to the    in the         to  the      to     the  to                          
469,i am no longer under the decombres ,earthquake is the  for                                                       
470,notes: this person wanted to writed someone else. wrong number.,i find a i                                                        
471,i like you my love.you learned me what wanted to say the word happiness.and since that i deposited between your hands the destiny of my heart.good night. .!bisou ,we are the               are the are the      we   the                              
472,good night thinking of me during the night i call upon god in prayer to take soint of you and your family too. from angel of god br ,we are in      we                                                   
473,notes: this message is a love message but it's not too important for my work,i the               to the                                          
474,notes: this is not an important message.,i find i                        need                                 
475,notes: this message is nonsensical.,i find i to i  the  in the i the  i         the   to                                  
476,notes: i can not translate the message because it's not complete.,i find i  to  i                                                     
477,whast else do they foresee for the country ,i   to  i to                                                     
478,my house crashed while the earthquake. ,what that i do for in                                                      
479,when thinking of jumping in a dream what should i do? ,but is the                                                         
480,give me information on the fault of the cap-haitien. ,we are the                                                         
481,do they prevent tsunami for port-au-prince? ,i of i the to we for                                                     
482,"im a young man, 18 years in rheto. im a writer, living alone and i would like to get my life back. what can you do for me? ",i find the        in the       to  the         to the                             
483,need of information about the earthquake for this week. ,what that i information for                                                       
484,i would like to know what is happening in the country. ,i that i to  the a                                                     
485,"i congratulate you lot without false modesty, for the work that you titanic made in haiti by information ",i of a the to   the   to  the to                                              
486,"i received a sms from 4636, but i did not understand it ",i that i to  i for                                                     
487,what informations at the level of sismic plan in haiti? ,we please help the and the                                                      
488,for the emergency i am a professional in construction i learned in saint domingue i have a lot experiences indomain construction a builder competent ,i find a i                                                        
489,"how is the weather? they say there should be an other earthquake and tsunami for the north departement, and other catastrophy ",we the           in the                                              
490,how can u help me to not catch a lot of microbes in water drinking in the capital ,we are in     we in                                                   
491,i would like to have all good information during the cyclone season. and on access i congratulate you for this great work. ,we are a the are to   we are the to we  to                                             
492,is the american embassy give me a visa if i have a letter of employment. ,i find a the to  i                                                     
493,since a week there are rainning a lot in north of the country .is this a cyclone? ,i love the              to the                                          
494,hi i great you for all the good work that you have done.but i would like to know when st gerard university will re-opening please. ,i find a i       to  i                                               
495,debit is the quantity of liquid flowed during 1h 1mn 1s ,i   to  the                                                      
496,when they preview the tsunamy? ,what that the                                                         
497,does haitian red cross recruiting drivers nowadays? ,i of the  to  for to                                                    
498,"how is the weather? they say there will be an earthquake and tsunami for the north department, flood and other catastrophy. thank you very much. ",we the           in the                                              
499,is there an antiseismic center with port-au-prince? ,we please help we  this                                                      
500,when the decentralization will begin in the province cities? ,what that the  to the                                                      
501,i informs a little about the counterpart of the seism ,when please the help me                                                       
502,my love i think i'm crazy about you good night darling ,we please in the  in we  the                                                   
503,some people of belle-anse who has some balls up on them. what we can do for them? ,i is a the   to the    to the to                                              
504,good morning please send me the true spelling sounami thanking u before ,we are in the we the we in we                                                   
505,how can we protect against the natural disaster. ,what is the                                                         
506,hello! i find myself on the side of port-au-prince. i'll be back on friday bye bye. ,i find a i     the i to i  to                                              
507,"pleaseit's rains now a days.i sleeping out door,i need shelter and tent.emergency.we living at chal janti 17 ",i find a the to   the to i                                                  
508,could i know when the earthquake will be pass again ,what that the  to the                                                      
509,i would like to have information on the country. ,earthquake is the  for                                                       
510,notes: this message is not important.this person is joking.,we are in the we                                                       
511,"if someone has lost certificate birthday, does it possible to do it again at the moment? neither akdenans? where indeed appearing like forms. ",we please in  we                                                       
512,"each time, i send a sentence about help. i don't find never a reply. then, i want to know why i can't find a good answer ",i love i to i to       the    to the to i the        to                               
513,there was an earthquake in the northern in haiti the result was unknown. ,we are haitians you  the  to the     tired the  nippes                                           
514,tegen tranblement land kite yon pase nan north country of haiti sete year 1842 bulan interest unknown ,we are haitians you  the  to the     tired the  nippes                                           
515,"you promised me you'll put a recharge card 1000 ht for me, l have found it yet. ",i find a i                                                        
516,price of the round-trip ticket of ny towards haiti to american airlines. ,we please the                                                         
517,"why you reject my voice while there is no for we render services when we cry to you, why you do not answer, why ",i would a to         i the  i   the  to i                                      
518,i see them never write me in 2428. ,i that i  to  a                                                     
519,entries for the official examinations begin when? this is bennau and i'm listening to radio-one from batiste. ,i is a the   to  the                                                   
520,notes: it's not important to translate,i love the            to the   to the         to the  you the to                          
521,i love you and i want to work ,we please help we in                                                       
522,i need the school help(assistant). i live in mirebalais ,i that the  to the                                                      
523,"have 100 flood effecte beleive at,ap logon ko hum continue fl!effecte de rhe likin aik problm salove nh howa?hamre pas aik unicef ke tarf se kuch",the tomorrow haitians you  such   could without  send authorities tired  nippes     change                                       
524,watan.card ki dosri qist kab jari ho gi. kotaddu.muzaffargarh,when the  age send                                                       
